Séance;Close;Plus haut;Plus bas;Variation quotidienne;Variation annuelle
02/12/2025;18 350,34;18 437,57;18 318,91;-0,46%;24,21%
01/12/2025;18 434,92;18 603,59;18 434,92;-0,91%;24,79%
28/11/2025;18 603,59;18 662,77;18 492,47;-0,20%;25,93%
27/11/2025;18 640,63;18 648,85;18 515,50;0,57%;26,18%
26/11/2025;18 535,59;18 538,80;18 382,71;0,83%;25,47%
25/11/2025;18 382,71;18 458,28;18 337,56;0,25%;24,43%
24/11/2025;18 337,56;18 340,14;18 187,32;0,73%;24,13%
21/11/2025;18 205,28;18 217,85;18 112,90;0,51%;23,23%
20/11/2025;18 112,94;18 245,10;18 106,62;-0,52%;22,61%
19/11/2025;18 207,75;18 515,44;18 199,81;-1,56%;23,25%
17/11/2025;18 496,11;18 935,71;18 496,11;-0,80%;25,20%
14/11/2025;18 645,53;18 834,18;18 614,20;-0,58%;26,21%
13/11/2025;18 754,43;18 834,21;18 668,96;0,46%;26,95%
12/11/2025;18 668,96;18 864,75;18 622,77;0,24%;26,37%
11/11/2025;18 624,84;19 079,85;18 624,84;-2,30%;26,07%
10/11/2025;19 064,05;19 286,21;19 058,20;-1,06%;29,04%
07/11/2025;19 268,40;19 495,71;19 254,84;-0,71%;30,43%
05/11/2025;19 406,21;19 578,70;19 406,21;-0,80%;31,36%
04/11/2025;19 561,84;19 728,01;19 543,41;-0,75%;32,41%
03/11/2025;19 710,01;20 060,07;19 636,52;0,37%;33,42%
31/10/2025;19 636,52;19 728,30;19 518,22;0,46%;32,92%
30/10/2025;19 546,88;19 565,19;19 462,49;0,23%;32,31%
29/10/2025;19 501,70;19 512,88;19 410,14;0,47%;32,01%
28/10/2025;19 410,19;19 448,11;19 367,19;0,19%;31,39%
27/10/2025;19 374,33;19 469,58;19 373,75;-0,35%;31,15%
24/10/2025;19 443,32;19 443,60;19 290,02;0,30%;31,61%
23/10/2025;19 384,53;19 482,16;19 297,96;-0,35%;31,21%
22/10/2025;19 452,84;19 516,70;19 339,45;0,59%;31,68%
21/10/2025;19 339,45;19 339,45;18 927,90;2,17%;30,91%
20/10/2025;18 927,90;18 929,01;18 457,86;2,55%;28,12%
17/10/2025;18 457,86;18 566,77;18 432,25;0,11%;24,94%
16/10/2025;18 438,26;18 457,60;18 184,11;1,31%;24,81%
15/10/2025;18 199,30;18 492,86;18 064,53;-0,53%;23,19%
14/10/2025;18 296,61;18 743,03;18 268,23;-1,98%;23,85%
13/10/2025;18 666,19;18 762,61;18 549,37;0,63%;26,35%
10/10/2025;18 549,37;18 687,97;18 549,07;-0,27%;25,56%
09/10/2025;18 599,49;18 967,58;18 599,49;-1,40%;25,90%
08/10/2025;18 862,92;19 093,31;18 841,85;-0,64%;27,68%
07/10/2025;18 983,55;19 198,59;18 983,55;-0,53%;28,50%
06/10/2025;19 084,25;19 230,22;18 820,18;1,40%;29,18%
03/10/2025;18 820,18;19 044,45;18 454,76;1,95%;27,39%
02/10/2025;18 460,09;18 597,47;17 765,29;0,48%;24,96%
01/10/2025;18 371,20;19 024,82;18 367,38;-3,44%;24,35%
30/09/2025;19 024,82;19 056,95;18 404,41;0,23%;28,78%
29/09/2025;18 980,22;19 393,68;18 980,22;-1,88%;28,48%
26/09/2025;19 342,98;19 465,04;19 265,37;-0,45%;30,93%
25/09/2025;19 430,04;19 658,13;19 416,64;-0,96%;31,52%
24/09/2025;19 617,53;19 925,33;19 572,56;-0,77%;32,79%
23/09/2025;19 770,15;20 029,47;19 765,19;-0,93%;33,82%
22/09/2025;19 956,63;20 021,93;19 914,05;0,06%;35,09%
19/09/2025;19 944,13;19 946,14;19 722,04;0,73%;35,00%
18/09/2025;19 799,08;19 799,99;19 585,94;1,09%;34,02%
17/09/2025;19 586,47;19 709,04;19 585,38;-0,30%;32,58%
16/09/2025;19 646,32;19 749,70;19 596,76;0,19%;32,99%
15/09/2025;19 609,77;19 926,61;19 609,77;-1,11%;32,74%
12/09/2025;19 828,99;19 954,00;19 824,35;-0,23%;34,22%
11/09/2025;19 873,73;19 978,58;19 832,77;0,16%;34,53%
10/09/2025;19 842,32;19 903,16;19 521,30;1,64%;34,31%
09/09/2025;19 521,30;20 065,52;19 521,16;-2,59%;32,14%
08/09/2025;20 040,46;20 141,03;20 008,53;-0,24%;35,65%
04/09/2025;20 088,15;20 264,26;20 085,27;-0,29%;35,98%
03/09/2025;20 146,13;20 232,31;20 096,88;0,14%;36,37%
02/09/2025;20 118,53;20 170,55;19 993,50;0,23%;36,18%
01/09/2025;20 071,84;20 155,97;19 978,55;0,08%;35,87%
